FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE,FLASH_DENSITY,POP_DENSITY
151276,57.815,-131.289,2019,7,10,0.1,N,N,0.0074571110493689,286.3156379980469,0.0027969232756569,0.0661474485324027,17.194870896148693,0.323489944629531,284.60048805664064,0.640387209387778,84.83903590405275,35.99211891424565,3.342918199166879e-05,2.2734734241600103,0.9618205229873658,189.09053643847668,27.431810848999184,0.2415693204727165,,0.0150314940597797,0.0
151277,57.8689,-132.023,2019,8,4,4600.0,N,N,0.0080161991937309,285.8980877690723,0.0015185936552436,0.003838348539553,18.767431739243168,1.0939056785755226,280.8624044601953,0.7072509071540639,65.05710092667968,26.750989195900885,5.5247927541189154e-05,2.147782985392917,0.8955474574915694,155.29298902672852,15.5266287140784,0.2792776602111719,,0.0006993857058377,0.0
151282,58.7358,-129.744,2019,7,6,5.5,N,N,0.008502076653099,289.2771591167383,0.0034307041921326,0.0473972874063062,18.49244887282959,0.8331537466476965,284.37354208597657,0.7423300254705429,96.35280174202636,35.06992362101564,3.6145871987123946e-05,2.375562012125091,0.962700261840782,204.55384265804688,24.90198045138429,0.3044460850498008,,0.0067079039192853,0.0
151300,57.4307,-130.2828,2019,7,1,0.009,N,N,0.0102239758903123,287.8214390189609,0.0605975888792878,0.0488551064273962,22.66663746299196,1.2448896690726754,283.9221831856074,0.6497274126287501,83.56005202774752,35.257380485287214,3.898241154573579e-05,2.163803141758425,0.9624814378785056,185.57449944991487,21.74459502357466,0.2448843496146842,,0.0145056043638103,0.0
151301,57.4826,-130.2789,2019,7,4,0.01,N,N,0.0077146173144276,285.76634658003906,0.0122994418606659,0.0522295324359162,16.38928433785528,1.535561193041735,283.90284170625785,0.6429510476586684,83.937322082626,35.97893036294336,3.784523158111424e-05,2.199263781269376,0.9625933127593308,187.53689075734087,22.615391887092443,0.2410091023635892,,0.0158285654696645,0.0
151302,57.5101,-130.2678,2019,7,11,0.01,N,N,0.0080340659758484,285.3540017062754,0.0055047971572474,0.1361708884573654,17.456752312284177,1.4382167958435872,283.90711020814257,0.6407333836729352,84.19988132677739,36.35048712954863,3.726800008501818e-05,2.2113912203000634,0.9626128157441748,188.5553221910988,23.06187528510793,0.2397625566984318,,0.0672947125755113,0.0
151303,57.4922,-130.2708,2019,7,16,0.4,N,N,0.0068554766977746,281.9706383390585,0.0274683030922104,0.1231930516261552,15.019084665968029,1.3563769908372758,283.8985296773164,0.6412783078480004,84.04720471101653,36.147825086869794,3.759687128539394e-05,2.2044952145794667,0.9626066936727066,188.02861400202903,22.78741015964849,0.2400474705835366,,0.0,0.0
151304,57.857,-130.3263,2019,8,15,0.06,U,U,0.007641544064652,283.14754691006834,0.0266538802847766,0.1296056559725569,21.80981892887024,0.7636082728950743,281.33913838550785,0.6598971169229887,68.61753870136963,32.30933267484742,4.944747230430832e-05,2.852666550417023,0.9038801580482484,166.3254304667969,24.03978504951052,0.2480365848891495,,0.0,0.0
151316,57.7906,-125.53,2019,5,31,20.0,N,N,0.0080183600147381,285.1716842369141,0.0302241731884359,0.1266317762539624,17.02790710490418,0.7565265476789279,275.8970881154297,0.8682557397958756,63.88659754272469,23.679951846838463,1.66239029631426e-05,0.6981877167266849,0.8825204835132598,186.87620074086925,5.913520189507322,0.3879102728613854,,0.0,0.0
151332,57.8448,-120.3639,2019,7,17,0.8,N,N,0.0089513571403906,289.91165702260935,0.0224910061123209,0.0664371491455832,21.85336005012597,0.0201448964441346,287.7792816582188,0.6549160740141603,98.836942147209,37.73236219647362,6.277309806442262e-05,3.85416791760968,0.9684593261990204,209.42265855779297,58.85353155375391,0.2791526741842575,,0.0354468132576307,0.0
151349,56.3888,-120.1085,2019,5,17,0.2,H,H,0.0050929294618684,281.55898982589844,0.0089449729505819,0.015356185277791,14.89358650484253,1.091380631359251,282.0496396196484,0.769402402661514,88.22559248195313,37.38377399073734,8.76059715807785e-06,1.5553646196992494,0.9467225053025818,216.5651023405274,33.2562899544678,0.3372646938705825,,0.0,0.0
