FID,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,SIZE_HA,CAUSE,CAUSE2,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
146160,59.034,-128.4785,2014,7,22,2830.0,N,N,0.007047181,283.5240171,0.05621249,0.107294093509674,16.776493355371095,0.5201580484627394,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146180,57.1449,-127.7527,2014,8,15,0.009,H,H,0.00958416,287.7010828566279,0.008513622,0.0244324367144698,20.612820852665525,1.1037085939459614,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146181,57.474,-130.2662,2014,8,21,0.1,H,H,0.005981235,282.2130514064453,0.0162312584728551,0.059291033,13.378854083153074,0.6886723861705893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146187,57.8845,-120.1656,2014,5,27,0.4,N,N,0.00574784,285.6074138,0.0267012380195331,0.048132957,13.461021772618718,0.1844851114936374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146188,57.6463,-120.6875,2014,5,27,7.5,N,N,0.005770111,284.9371614,0.0254731691785901,0.0448258,13.137578158988944,0.2266561992044074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146189,57.6063,-120.7807,2014,5,31,12.0,N,N,0.007066376,287.2638087106504,0.0260670865950068,0.080578982,16.656339704063623,0.2704611470300445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146190,57.8697,-120.8671,2014,6,23,0.2,N,N,0.008304761,291.01887703616313,0.000292699,0.0124899421070657,18.57379365482769,0.1113285818525318,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146191,57.7108,-120.8823,2014,6,28,0.2,N,N,0.009256131,290.05764039897656,0.0519075001999769,0.088215831,22.481883737673584,0.048135892,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146192,57.6619,-121.0499,2014,6,28,0.2,N,N,0.009235726,289.8196927662285,0.053085571,0.097657271,22.619474298924008,0.039246614,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
146193,57.1724,-121.1442,2014,8,12,2.7,N,N,0.009201504,294.5644609204453,0.002659484,0.000452834,21.62659986084717,0.1319957657205626,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
