FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,DATE,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC
148462,BC-2013-2013-C20030,BC, ,2013-C20030, ,51.6551,-122.294,2013,4,27,2013-04-27 00:00:00,,,8.3,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.004239568179524,279.63419293682614,0.0371196893416447,0.0189339613758248,9.395444816926878,0.0432077597697905,,,,,,,,,,,
148463,BC-2013-2013-C20032,BC, ,2013-C20032, ,51.9817,-122.6153,2013,4,28,2013-04-28 00:00:00,,,3.6,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0030748299641724,276.37479309166696,0.0080345476111674,0.0080341902488098,5.387839603889109,0.1479938496164663,,,,,,,,,,,
148464,BC-2013-2013-C20057,BC, ,2013-C20057, ,51.6366,-122.2979,2013,6,11,2013-06-11 00:00:00,,,0.2,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0059851660188893,283.267084899166,0.0164630105064758,0.0642626257203167,12.578579972122986,0.1735826033941012,,,,,,,,,,,
148465,BC-2013-2013-C20061,BC, ,2013-C20061, ,51.9589,-122.6755,2013,6,18,2013-06-18 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0074253692292978,286.1485756640528,0.023886969184308,0.0955303578139066,16.133842147351988,0.0689873332242116,,,,,,,,,,,
148466,BC-2013-2013-C20093,BC, ,2013-C20093, ,51.9706,-122.3064,2013,7,26,2013-07-26 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0060644345919209,292.2091005281758,0.0081971999335185,0.002065313375122,14.438144834469853,0.0369742059154886,,,,,,,,,,,
148467,BC-2013-2013-C20094,BC, ,2013-C20094, ,51.9754,-122.3207,2013,7,26,2013-07-26 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.006048120927349,292.21654797664456,0.0081997598205189,0.0020628326662696,14.41349521007037,0.0367423751347245,,,,,,,,,,,
148468,BC-2013-2013-C20096,BC, ,2013-C20096, ,51.9575,-122.3762,2013,7,29,2013-07-29 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0059063508245348,287.1675260699219,0.0052037590653404,0.0174408489497512,13.582125866888436,0.0400910853362073,,,,,,,,,,,
148469,BC-2013-2013-C20142,BC, ,2013-C20142, ,51.9257,-122.6372,2013,8,1,2013-08-01 00:00:00,,,0.2,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0073684559421,293.4900060473711,0.0104677303384649,0.0056450487185662,17.86194562874683,0.1640421888209103,,,,,,,,,,,
148470,BC-2013-2013-C20197,BC, ,2013-C20197, ,51.8012,-122.2264,2013,8,3,2013-08-03 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0098677893835196,291.11515803314063,0.0227558795524411,0.0946736161677874,24.19460698370557,0.0766485148005762,,,,,,,,,,,
148471,BC-2013-2013-C20237,BC, ,2013-C20237, ,51.9008,-122.6542,2013,8,1,2013-08-01 00:00:00,,,0.2,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0073478052763023,293.3806794627656,0.0108184030731988,0.0068990201800748,17.86250925218457,0.1494849578653876,,,,,,,,,,,
148488,BC-2013-2012-K21017,BC, ,2012-K21017, ,51.3351,-120.1831,2013,3,27,2013-03-27 00:00:00,,,1.0,H,H,Fire, , , ,Note that BC FIRE_ID includes the fiscal year in which fire is reported, , ,2020-05-05 00:00:00,0.0035160553996665,271.6799487170361,0.0011822968204523,0.0152998344018085,8.027370485850161,0.2973894559713952,,,,,,,,,,,
148559,BC-2013-2013-K10331,BC, ,2013-K10331, ,51.65,-119.9689,2013,7,31,2013-07-31 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0075564914181232,289.9109490605469,0.0030499431757777,0.0068540867148563,15.192859465789796,0.3310272187946626,,,,,,,,,,,
148560,BC-2013-2013-K10338,BC, ,2013-K10338, ,51.8019,-120.3884,2013,8,1,2013-08-01 00:00:00,,,0.2,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.008072121312971,291.54551633348046,0.0136180989826224,0.0099843087525102,16.68979560997448,0.3933766684290345,,,,,,,,,,,
148561,BC-2013-2013-K10509,BC, ,2013-K10509, ,51.6925,-120.2396,2013,8,3,2013-08-03 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0090880748985126,289.74638771210937,0.0117553311010912,0.0673066617177963,21.868648744769285,0.2929087434304693,,,,,,,,,,,
148562,BC-2013-2013-K10525,BC, ,2013-K10525, ,51.7928,-120.335,2013,8,9,2013-08-09 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0088827856323361,291.1301539089844,0.0050706362889766,0.0200903471935987,20.20162058466796,0.2887516830615271,,,,,,,,,,,
148563,BC-2013-2013-K10571,BC, ,2013-K10571, ,51.8069,-120.3632,2013,8,10,2013-08-10 00:00:00,,,1.9,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0093064365424046,293.078023775709,0.0084117919332802,0.0243703754781629,21.73796598156701,0.2585351106360606,,,,,,,,,,,
148564,BC-2013-2013-K10640,BC, ,2013-K10640, ,51.8064,-120.3974,2013,8,1,2013-08-01 00:00:00,,,0.08,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0080681673669876,291.55099051967187,0.0135807299612517,0.0099392539672779,16.684126329123057,0.3936521103428242,,,,,,,,,,,
148565,BC-2013-2013-K10888,BC, ,2013-K10888, ,51.7922,-120.4446,2013,10,21,2013-10-21 00:00:00,,,0.9,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0054797417403319,278.2630438185508,0.0022277853799585,0.022761447746119,13.54567989414062,0.1863725767050736,,,,,,,,,,,
148567,BC-2013-2013-K20047,BC, ,2013-K20047, ,51.0707,-120.053,2013,5,6,2013-05-06 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0064668805978013,287.2997534815332,0.0003109827664576,0.0,11.572828151893304,0.4228026984398666,,,,,,,,,,,
148568,BC-2013-2013-K20074,BC, ,2013-K20074, ,50.9744,-120.0309,2013,5,17,2013-05-17 00:00:00,,,0.009,H,H,Fire, , , , , , ,2020-05-05 00:00:00,0.0050223168879486,284.37159628182815,0.002869532389165,0.0362214761949691,10.801266016579833,0.2172433146593387,,,,,,,,,,,
148569,BC-2013-2013-K20102,BC, ,2013-K20102, ,50.9173,-120.5739,2013,6,11,2013-06-11 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0060247809918028,285.4695356001455,0.0131261410061837,0.0602072563428055,13.152773838305365,0.3319081116183131,,,,,,,,,,,
148570,BC-2013-2013-K20107,BC, ,2013-K20107, ,50.9769,-121.0316,2013,6,12,2013-06-12 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0054125719862246,281.3565754277637,0.0292007456008993,0.0459247692901868,10.966119175929142,0.0614580199117219,,,,,,,,,,,
148571,BC-2013-2013-K20391,BC, ,2013-K20391, ,50.8913,-121.173,2013,8,1,2013-08-01 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0082086741479429,292.111130325166,0.0441793136758267,0.0420633551229387,20.29737200085754,0.0895033160328645,,,,,,,,,,,
148572,BC-2013-2013-K20435,BC, ,2013-K20435, ,50.8116,-120.1401,2013,8,3,2013-08-03 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0086869726530468,290.5482019291367,0.0061662906146045,0.0763563331805744,23.676620393227047,0.1984639678575973,,,,,,,,,,,
148573,BC-2013-2013-K20444,BC, ,2013-K20444, ,50.855,-120.8196,2013,8,4,2013-08-04 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0086233929528951,291.6653104925781,0.03577284580338,0.0619451009465577,21.553757710266133,0.267629129237793,,,,,,,,,,,
148574,BC-2013-2013-K20445,BC, ,2013-K20445, ,50.8594,-120.8209,2013,8,4,2013-08-04 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.00861921241473,291.666804989041,0.0357212604527866,0.0618128457084993,21.54267724282838,0.26839323666188,,,,,,,,,,,
148575,BC-2013-2013-K20463,BC, ,2013-K20463, ,51.3822,-120.521,2013,8,4,2013-08-04 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00,0.0084362653025972,291.5665759047461,0.0293043913618934,0.062594555619452,20.97912535706056,0.1536494727669143,,,,,,,,,,,
