FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SPECIFIC_HUMIDITY,TEMP,PRECIP_ICE,PRECIP_WATER,PRECIP_VAPOR,WIND,TSURF,GWETTOP,LHLAND,SHLAND,PRECTOTLAND,LAI,GRN,SWLAND,EVPTRNS,RZMC,DATE
198758,AB-2015-MWF052,AB, ,MWF052, ,59.6531,-110.343233,2015,6,24,2015-06-24 00:00:00,,2015-11-12 00:00:00,24458.0,N,N,Surface, , , ,fueltype: C4, , ,2020-06-01 00:00:00,0.0077567836478679,293.5959596371113,0.0094478085024047,0.0261668491590256,20.354939404945807,0.6417584599841664,288.79191229906627,0.3374916307741656,50.81655189997165,80.70999094451251,1.4690871575188688e-05,2.119140176936401,0.9588379826851572,227.63942949077227,18.985482227887434,0.1388142165757278,
198759,AB-2015-MWF054,AB, ,MWF054, ,59.081333,-110.849717,2015,6,24,2015-06-24 00:00:00,,2015-06-24 00:00:00,0.01,N,N,Surface, , , ,fueltype: C1, , ,2020-06-01 00:00:00,0.0078296072342725,294.37534003677,0.0020900872886199,0.0125762484941122,19.996832677771632,0.7267449196731792,289.41761362459727,0.3472471416640959,53.74305742035291,78.0511644074356,1.4263319182721532e-05,2.212538420398609,0.9604496358548872,228.89527763197853,22.320627031212474,0.1418275888893629,
198760,AB-2015-MWF055,AB, ,MWF055, ,59.3535,-110.506667,2015,6,24,2015-06-24 00:00:00,,2015-06-24 00:00:00,0.1,N,N,Surface, , , ,fueltype: C2, , ,2020-06-01 00:00:00,0.0078588226150987,294.09347972949126,0.0057087294875164,0.0185747251968282,20.13635584549345,0.7628202267045884,289.1677040521316,0.3336796937592098,51.42423250256334,81.14199856483334,1.4588229100453552e-05,2.1620061684774337,0.9597615838970736,229.4364107884004,20.096799277511938,0.1361056036598231,
198761,AB-2015-MWF058,AB, ,MWF058, ,59.044483,-110.816367,2015,6,24,2015-06-24 00:00:00,,2015-06-24 00:00:00,0.01,N,N,Surface, , , ,fueltype: C1, , ,2020-06-01 00:00:00,0.0078768751478763,294.38173501125704,0.0017112478066844,0.0114843906921424,19.9327717176578,0.7839597346565681,289.4301820369646,0.3459392302789912,54.40531186133736,77.86594580792588,1.4370861593727692e-05,2.214076011428081,0.9605084487407284,229.42674793794487,23.10632681887736,0.1409093119206909,
198762,AB-2015-MWF059,AB, ,MWF059, ,59.043217,-110.740333,2015,6,24,2015-06-24 00:00:00,,2015-06-25 00:00:00,0.01,N,N,Surface, , , ,fueltype: C2, , ,2020-06-01 00:00:00,0.0079289730625927,294.3579857406769,0.0017651132064663,0.0111970225402965,19.892623213715257,0.8463968195444529,289.4131604431935,0.342894335211598,54.85135885540525,78.2581431166626,1.4593230989062109e-05,2.207824269256002,0.9604878537242244,230.325694496498,23.75863179237137,0.1390642430156838,
198763,AB-2015-MWF060,AB, ,MWF060, ,59.380567,-110.643783,2015,6,24,2015-06-24 00:00:00,,2015-06-24 00:00:00,0.01,N,N,Surface, , , ,fueltype: C2, , ,2020-06-01 00:00:00,0.007716189752221,294.16264185939974,0.0057538010551666,0.0197765564800454,20.2472661474556,0.6046147585731236,289.2122265769545,0.3310263543915797,50.23809478032906,81.97246909087605,1.440767846713045e-05,2.1716961613962558,0.9599085783778658,229.2139575332087,19.084071197414215,0.1347417502085135,
198764,AB-2015-MWF061,AB, ,MWF061, ,59.322833,-110.481217,2015,6,24,2015-06-24 00:00:00,,2015-07-04 00:00:00,0.01,N,N,Surface, , , ,fueltype: C2, , ,2020-06-01 00:00:00,0.0079054154669572,294.0891860663752,0.0054005647253032,0.0176809650814207,20.088404727160665,0.8142001990891307,289.1709298656332,0.3352768917201876,52.09847283377137,80.66295687799746,1.466543865585828e-05,2.1618778676363752,0.9597673282757035,229.61058853678983,20.75032212491377,0.1367017247235656,
198765,AB-2015-MWF063,AB, ,MWF063, ,59.034567,-110.777183,2015,6,24,2015-06-24 00:00:00,,2015-06-24 00:00:00,0.1,N,N,Surface, , , ,fueltype: C1, , ,2020-06-01 00:00:00,0.0079104374883748,294.3738642053139,0.0016347552334713,0.0110905025935679,19.900492199419617,0.824156799938575,289.42644975003924,0.3444503891212553,54.76205468416728,77.97801981230907,1.4491557489083549e-05,2.2118350277955865,0.9605143898254832,229.9342309146302,23.57792526136961,0.1399590091799908,
198766,AB-2015-MWF070,AB, ,MWF070, ,59.0236,-110.78535,2015,6,24,2015-06-24 00:00:00,,2015-06-24 00:00:00,0.01,N,N,Ground, , , ,fueltype: C4, , ,2020-06-01 00:00:00,0.0079127890951268,294.3816349575879,0.0015043319615156,0.0108266233986959,19.89085944995288,0.8269798177229853,289.4343337447637,0.3448586378619153,54.86460602141823,77.82773499726714,1.4474250861109252e-05,2.2137051213164054,0.9605366008702354,229.88876781798152,23.668552984159085,0.1401520055416983,
198767,AB-2015-MWF084,AB, ,MWF084, ,59.130667,-110.711433,2015,6,25,2015-06-25 00:00:00,,2015-07-04 00:00:00,2.4,N,N,Surface, , , ,fueltype: C3, , ,2020-06-01 00:00:00,0.0079720831257587,294.47304644429084,0.0020304422252395,0.0153293306044198,21.74819558516684,0.5030927613394912,289.35951412883765,0.3403160546423625,53.74671446982887,79.2517250305821,1.4588030311804326e-05,2.197139167715892,0.9603297296695474,230.16505587792017,22.64982767267161,0.1381028778189738,
